,name,new_price,old_price,discount,rating,votes
190,Paperline 1 Ream 80GSM Printing/Photocopy Paper,1200.0,,,4.7 out of 5,4.7 out of 5(3)
191,"915 Generation Knife Sharpener, Diamond Sharpening Stone, Diamond Plate She",799.0,"KSh 1,477",46%,,
192,KINGHICO E300 MSATA SSD 1.8-Inch SATA3.0 500-550MB/S Built-in Solid State Drive for PC Laptop All-In-One-64G,3676.0,"KSh 7,352",50%,,
193,Wireless Sunset Lamp Night Light Projector Deoration Home,553.0,KSh 857,35%,,
194,Polished 30Ml Mini Stainless Steel Shot Glass Cup Drinking Wine Glasses with Leather Cover Bag for Home Kitchen Bar,1048.0,"KSh 2,096",50%,,
195,915 Generation Turn Signal Rocker Switch LED for RV Vehicle 4Pin Universal,625.0,"KSh 1,176",47%,,
196,915 Generation DC 3.7-18.5V Solar Charge Controller 18650 - Lithium Battery,690.0,"KSh 1,035",33%,,
197,300ML Rice Wine Bowl For BBQ Parties Camping And All,1230.0,"KSh 2,435",49%,,
198,"Toilet Handle, Side Mount Zinc Alloy Toilet Flush Handle with Lever",1865.0,"KSh 3,506",47%,,
199,"915 Generation Balloon Clips, 100 Pack Plastic Balloon Arch Clips Ties",947.0,"KSh 1,658",43%,,
200,915 Generation Round Iron Heat-Insulation Trivet for Kitchen Dining Table D,4419.0,"KSh 8,396",47%,,
201,Car Fog Light Lamp Wiring Harness with Indicator Relay & ON/OFF Switch Kits for Nissan Patrol Y62,2364.0,"KSh 4,727",50%,,
202,915 Generation Remote Control -L03 Replacement for FVP-4000T,1066.0,"KSh 1,973",46%,,
203,KINGHICO E300 MSATA SSD 1.8-Inch SATA3.0 500-550MB/S Built-in Solid State Drive for PC Laptop All-In-One-64G,3676.0,"KSh 7,352",50%,,
204,915 Generation 50Mm Bench Vice Machine Vise Clamp Full Metal,8510.0,"KSh 14,893",43%,,
205,915 Generation Mobile Phone Motherboard Tools PCB Board Holder Clamp with,1743.0,"KSh 3,225",46%,,
206,915 Generation Sand Table Decorative Shrub Thicket Spend Plant Flower,154.0,KSh 290,47%,,
207,Wireless Sunset Lamp Night Light Projector Deoration Home,553.0,KSh 857,35%,,
208,"Lumbar Support For Office Chair, Car Seat Or Home Chair, Double Breathable Mesh Back Support",700.0,,,4.1 out of 5,4.1 out of 5(27)
209,915 Generation Mei Nai Qi Cosmetics Multi-Function Makeup Brush Double,89.0,KSh 170,48%,,
210,"915 Generation 6Pcs Silicone Baby Feeding Set, Toddler Utensils, with",3435.0,"KSh 6,355",46%,,
211,915 Generation Turn Signal Rocker Switch LED for RV Vehicle 4Pin Universal,625.0,"KSh 1,176",47%,,
212,915 Generation HA800 Ultra- 8 Channel Headphone Audio Stereo Amp Microamp Amplifier for Music Mixer Recording US Plug,5589.0,"KSh 10,340",46%,,
213,Pumpkin Carving Kit For Halloween Jack-O-Lanterns Cutting,2700.0,"KSh 4,500",40%,,
214,12Pcs Sublimation Magnet Refrigerator Magnets Blanks Car,1964.0,"KSh 3,043",35%,,
215,"Toilet Handle, Side Mount Zinc Alloy Toilet Flush Handle with Lever",1865.0,"KSh 3,506",47%,,
